,play_E_Base,play_E_KDLI,Difference,Difference Value
Resource,49436.90533,47522.32236,1914.58297,P
P.bolini,33.90482,34.58515,-0.68033,N
K.anderssoni,55.56354,56.51668,-0.95314,N
C.microdon,1424.82853,1453.69161,-28.86308,N
G.fraseri,126.81369,129.19938,-2.38569,N
E.carlsbergi,111.27265,113.04477,-1.77212,N
G.braueri,6024.85091,6110.20669,-85.35578,N
E.antarctica,1079.814,1094.47776,-14.66376,N
B.antarcticus,7910.32558,8022.95771,-112.63213,N
N.achirus,13147.40729,13321.14554,-173.73825,N
G.nicholsi,3223.18732,3265.07027,-41.88295,N
P.antarcticum,39388.93889,39860.14901,-471.21012,N
N.coatsi,1810.4252,1828.61246,-18.18726,N
C.piriei,2046.56872,2066.02393,-19.45521,N
P.gracilis,2138.67019,2158.64906,-19.97887,N
C.gunnari,282.62652,285.28376,-2.65724,N
D.eleginoides,16.7177,16.83964,-0.12194,N
D.mawsoni,10.04476,10.11849,-0.07373,N
