,play_G_Base,play_G_KDLI,Difference,Difference Value
Resource,1.83E+04,1.80E+04,3.19E+02,P
P.bolini,4.75E+01,4.90E+01,-1.50E+00,N
K.anderssoni,4.93E+01,5.07E+01,-1.41E+00,N
C.microdon,4.24E+01,4.38E+01,-1.43E+00,N
G.fraseri,1.60E+02,1.65E+02,-5.30E+00,N
E.carlsbergi,9.56E+01,9.86E+01,-2.97E+00,N
G.braueri,1.71E+02,1.76E+02,-5.42E+00,N
E.antarctica,4.71E+02,4.86E+02,-1.42E+01,N
B.antarcticus,1.01E+02,1.05E+02,-3.26E+00,N
N.achirus,3.62E+02,3.74E+02,-1.16E+01,N
G.nicholsi,8.85E+02,9.13E+02,-2.77E+01,N
P.antarcticum,3.75E+03,3.88E+03,-1.22E+02,N
N.coatsi,4.84E+00,4.99E+00,-1.54E-01,N
C.piriei,2.48E-01,2.56E-01,-7.81E-03,N
P.gracilis,6.18E-01,6.37E-01,-1.93E-02,N
C.gunnari,2.45E-01,2.53E-01,-7.72E-03,N
D.eleginoides,1.25E-03,1.29E-03,-4.15E-05,N
D.mawsoni,6.60E-04,6.83E-04,-2.26E-05,N
