,play_E_Base,play_E_KD,Difference,Difference Value
Resource,49436.90533,47887.06359,1549.84174,P
P.bolini,33.90482,34.12927,-0.22445,N
K.anderssoni,55.56354,55.66839,-0.10485,N
C.microdon,1424.82853,1442.40476,-17.57623,N
G.fraseri,126.81369,128.17139,-1.3577,N
E.carlsbergi,111.27265,112.00158,-0.72893,N
G.braueri,6024.85091,6079.38886,-54.53795,N
E.antarctica,1079.814,1087.49859,-7.68459,N
B.antarcticus,7910.32558,7987.47442,-77.14884,N
N.achirus,13147.40729,13269.63608,-122.22879,N
G.nicholsi,3223.18732,3250.80295,-27.61563,N
P.antarcticum,39388.93889,39763.59486,-374.65597,N
N.coatsi,1810.4252,1825.4159,-14.9907,N
C.piriei,2046.56872,2063.11422,-16.5455,N
P.gracilis,2138.67019,2155.7925,-17.12231,N
C.gunnari,282.62652,284.91006,-2.28354,N
D.eleginoides,16.7177,16.82453,-0.10683,N
D.mawsoni,10.04476,10.10865,-0.06389,N
