,play_G_Base,play_G_KD,Difference,Value
Resource,1.83E+04,1.80E+04,3.04E+02,P
P.bolini,4.75E+01,4.85E+01,-9.61E-01,N
K.anderssoni,4.93E+01,5.00E+01,-7.41E-01,N
C.microdon,4.24E+01,4.36E+01,-1.20E+00,N
G.fraseri,1.60E+02,1.64E+02,-4.25E+00,N
E.carlsbergi,9.56E+01,9.78E+01,-2.17E+00,N
G.braueri,1.71E+02,1.75E+02,-4.63E+00,N
E.antarctica,4.71E+02,4.82E+02,-1.09E+01,N
B.antarcticus,1.01E+02,1.04E+02,-2.85E+00,N
N.achirus,3.62E+02,3.72E+02,-1.02E+01,N
G.nicholsi,8.85E+02,9.09E+02,-2.35E+01,N
P.antarcticum,3.75E+03,3.87E+03,-1.13E+02,N
N.coatsi,4.84E+00,4.98E+00,-1.42E-01,N
C.piriei,2.48E-01,2.55E-01,-7.19E-03,N
P.gracilis,6.18E-01,6.36E-01,-1.78E-02,N
C.gunnari,2.45E-01,2.52E-01,-6.99E-03,N
D.eleginoides,1.25E-03,1.29E-03,-3.73E-05,N
D.mawsoni,6.60E-04,6.80E-04,-1.98E-05,N
