,play_M_Base,play_M_KD,Difference,Difference Value
Resource,82227.58969,79478.44918,2749.14051,P
P.bolini,96.17515,96.59513,-0.41998,N
K.anderssoni,168.32582,168.26451,0.06131,P
C.microdon,1279.96341,1292.52028,-12.55687,N
G.fraseri,462.25927,466.00129,-3.74202,N
E.carlsbergi,364.14001,365.542,-1.40199,N
G.braueri,12437.08997,12513.73448,-76.64451,N
E.antarctica,3517.66834,3532.82087,-15.15253,N
B.antarcticus,8035.38448,8090.34782,-54.96334,N
N.achirus,40893.95239,41153.64033,-259.68794,N
G.nicholsi,10959.66556,11021.65839,-61.99283,N
P.antarcticum,144187.4737,145133.4842,-946.01046,N
N.coatsi,7139.21107,7178.25212,-39.04105,N
C.piriei,2446.63484,2459.68901,-13.05417,N
P.gracilis,4607.18516,4631.55644,-24.37128,N
C.gunnari,1298.09468,1305.1115,-7.01682,N
D.eleginoides,179.62465,180.39866,-0.77401,N
D.mawsoni,18.4696,18.5454,-0.0758,N
