,play_E_Base,play_E_KILD,Difference,Difference Value
Resource,49436.90533,51306.31209,-1869.406763,N
P.bolini,33.90482,33.229411,0.675409,P
K.anderssoni,55.56354,54.595723,0.967817,P
C.microdon,1424.82853,1396.77262,28.05591,P
G.fraseri,126.81369,124.48071,2.33298,P
E.carlsbergi,111.27265,109.506496,1.766154,P
G.braueri,6024.85091,5940.696242,84.154668,P
E.antarctica,1079.814,1065.206138,14.607862,P
B.antarcticus,7910.32558,7799.689022,110.636558,P
N.achirus,13147.40729,12976.36036,171.046935,P
G.nicholsi,3223.18732,3181.793679,41.393641,P
P.antarcticum,39388.93889,38926.33602,462.602875,P
N.coatsi,1810.4252,1792.473134,17.952066,P
C.piriei,2046.56872,2027.350379,19.218341,P
P.gracilis,2138.67019,2118.938331,19.731859,P
C.gunnari,282.62652,280.006009,2.620511,P
D.eleginoides,16.7177,16.596835,0.120865,P
D.mawsoni,10.04476,9.971512,0.073248,P
