,play_M_Base,play_M_KILD,Difference,Difference value
Resource,82227.58969,85569.79772,-3342.20803,N
P.bolini,96.17515,94.52866,1.64649,P
K.anderssoni,168.32582,165.86941,2.45641,P
C.microdon,1279.96341,1258.68419,21.27922,P
G.fraseri,462.25927,455.22512,7.03415,P
E.carlsbergi,364.14001,359.56471,4.5753,P
G.braueri,12437.08997,12307.20514,129.88483,P
E.antarctica,3517.66834,3482.3428,35.32554,P
B.antarcticus,8035.38448,7951.46881,83.91567,P
N.achirus,40893.95239,40509.13994,384.81245,P
G.nicholsi,10959.66556,10858.23933,101.42623,P
P.antarcticum,144187.4737,143015.4829,1171.99081,P
N.coatsi,7139.21107,7093.30453,45.90654,P
C.piriei,2446.63484,2432.02245,14.61239,P
P.gracilis,4607.18516,4580.2603,26.92486,P
C.gunnari,1298.09468,1290.39266,7.70202,P
D.eleginoides,179.62465,178.80684,0.81781,P
D.mawsoni,18.4696,18.38917,0.08043,P
