,play_E_Base,play_E_KILI,Difference,Difference Value
Resource,49436.90533,50433.8478,-996.942474,N
P.bolini,33.90482,34.740174,-0.835354,N
K.anderssoni,55.56354,57.642541,-2.079001,N
C.microdon,1424.82853,1427.153422,-2.324892,N
G.fraseri,126.81369,127.745973,-0.932283,N
E.carlsbergi,111.27265,113.405143,-2.132493,N
G.braueri,6024.85091,6052.068207,-27.217297,N
E.antarctica,1079.814,1094.308037,-14.494037,N
B.antarcticus,7910.32558,7922.070395,-11.744815,N
N.achirus,13147.40729,13142.80902,4.598267,P
G.nicholsi,3223.18732,3234.095577,-10.908257,N
P.antarcticum,39388.93889,39163.7246,225.214295,P
N.coatsi,1810.4252,1798.699058,11.726142,P
C.piriei,2046.56872,2031.975463,14.593257,P
P.gracilis,2138.67019,2122.867171,15.803019,P
C.gunnari,282.62652,280.508726,2.117794,P
D.eleginoides,16.7177,16.605403,0.112297,P
D.mawsoni,10.04476,9.980252,0.064508,P
