,play_M_Base,play_M_KILI,Difference,Difference Value
Resource,82227.58969,83980.35053,-1752.76084,N
P.bolini,96.17515,98.6554,-2.48025,N
K.anderssoni,168.32582,174.82002,-6.4942,N
C.microdon,1279.96341,1283.81214,-3.84873,N
G.fraseri,462.25927,466.31822,-4.05895,N
E.carlsbergi,364.14001,371.67404,-7.53403,N
G.braueri,12437.08997,12513.19401,-76.10404,N
E.antarctica,3517.66834,3569.62938,-51.96104,N
B.antarcticus,8035.38448,8060.24698,-24.8625,N
N.achirus,40893.95239,40946.98587,-53.03348,N
G.nicholsi,10959.66556,11013.36125,-53.69569,N
P.antarcticum,144187.4737,143605.1278,582.34588,P
N.coatsi,7139.21107,7104.7982,34.41287,P
C.piriei,2446.63484,2433.14447,13.49037,P
P.gracilis,4607.18516,4580.57931,26.60585,P
C.gunnari,1298.09468,1290.36819,7.72649,P
D.eleginoides,179.62465,178.62313,1.00152,P
D.mawsoni,18.4696,18.37177,0.09783,P
