,play_E_Base,play_E_KI,Difference,Difference value
Resource,49436.90533,50917.43957,-1480.534235,N
P.bolini,33.90482,33.670014,0.234806,P
K.anderssoni,55.56354,55.415386,0.148154,P
C.microdon,1424.82853,1407.83215,16.99638,P
G.fraseri,126.81369,125.487849,1.325841,P
E.carlsbergi,111.27265,110.528566,0.744084,P
G.braueri,6024.85091,5971.623876,53.227034,P
E.antarctica,1079.814,1072.129002,7.684998,P
B.antarcticus,7910.32558,7835.547786,74.777794,P
N.achirus,13147.40729,13028.91141,118.495884,P
G.nicholsi,3223.18732,3196.236382,26.950938,P
P.antarcticum,39388.93889,39029.06083,359.878063,P
N.coatsi,1810.4252,1796.002574,14.422626,P
C.piriei,2046.56872,2030.669556,15.899164,P
P.gracilis,2138.67019,2122.228927,16.441263,P
C.gunnari,282.62652,280.436874,2.189646,P
D.eleginoides,16.7177,16.615034,0.102666,P
D.mawsoni,10.04476,9.983227,0.061533,P
