,play_M_Base,play_M_KI,Difference,Difference Value
Resource,82227.58969,84866.43344,-2638.84375,N
P.bolini,96.17515,95.7151,0.46005,P
K.anderssoni,168.32582,168.24057,0.08525,P
C.microdon,1279.96341,1267.73639,12.22702,P
G.fraseri,462.25927,458.5658,3.69347,P
E.carlsbergi,364.14001,362.64111,1.4989,P
G.braueri,12437.08997,12361.30402,75.78595,P
E.antarctica,3517.66834,3502.0464,15.62194,P
B.antarcticus,8035.38448,7981.59986,53.78462,P
N.achirus,40893.95239,40639.7597,254.19269,P
G.nicholsi,10959.66556,10898.37126,61.2943,P
P.antarcticum,144187.4737,143274.7467,912.72701,P
N.coatsi,7139.21107,7101.53589,37.67518,P
C.piriei,2446.63484,2434.07031,12.56453,P
P.gracilis,4607.18516,4583.76372,23.42144,P
C.gunnari,1298.09468,1291.3676,6.72708,P
D.eleginoides,179.62465,178.88391,0.74074,P
D.mawsoni,18.4696,18.39698,0.07262,P
