,play_E_Base,play_E_LD,Difference,Difference Value
Resource,49436.90533,49816.94109,-380.03576,N
P.bolini,33.90482,33.45244,0.45238,P
K.anderssoni,55.56354,54.72421,0.83933,P
C.microdon,1424.82853,1413.50091,11.32762,P
G.fraseri,126.81369,125.78597,1.02772,P
E.carlsbergi,111.27265,110.23323,1.03942,P
G.braueri,6024.85091,5993.74303,31.10788,P
E.antarctica,1079.814,1072.83482,6.97918,P
B.antarcticus,7910.32558,7874.37876,35.94682,P
N.achirus,13147.40729,13094.99484,52.41245,P
G.nicholsi,3223.18732,3208.75494,14.43238,P
P.antarcticum,39388.93889,39288.58873,100.35016,P
N.coatsi,1810.4252,1807.03384,3.39136,P
C.piriei,2046.56872,2043.42706,3.14166,P
P.gracilis,2138.67019,2135.5673,3.10289,P
C.gunnari,282.62652,282.22049,0.40603,P
D.eleginoides,16.7177,16.70086,0.01684,P
D.mawsoni,10.04476,10.03388,0.01088,P
