,play_M_Base,play_M_LD,Difference,Difference Value
Resource,82227.58969,82911.55561,-683.96592,N
P.bolini,96.17515,94.95724,1.21791,P
K.anderssoni,168.32582,165.89863,2.42719,P
C.microdon,1279.96341,1270.6865,9.27691,P
G.fraseri,462.25927,458.84905,3.41022,P
E.carlsbergi,364.14001,361.01116,3.12885,P
G.braueri,12437.08997,12382.636,54.45397,P
E.antarctica,3517.66834,3497.79467,19.87367,P
B.antarcticus,8035.38448,8005.1626,30.22188,P
N.achirus,40893.95239,40763.64817,130.30422,P
G.nicholsi,10959.66556,10919.54691,40.11865,P
P.antarcticum,144187.4737,143935.5541,251.9196,P
N.coatsi,7139.21107,7131.42225,7.78882,P
C.piriei,2446.63484,2444.75947,1.87537,P
P.gracilis,4607.18516,4604.00865,3.17651,P
C.gunnari,1298.09468,1297.2116,0.88308,P
D.eleginoides,179.62465,179.55878,0.06587,P
D.mawsoni,18.4696,18.46291,0.00669,P
