,play_E_Base,play_E_LI,Difference,Difference Value
Resource,49436.90533,49062.74727,374.15806,P
P.bolini,33.90482,34.34804,-0.44322,N
K.anderssoni,55.56354,56.39078,-0.82724,N
C.microdon,1424.82853,1435.82915,-11.00062,N
G.fraseri,126.81369,127.81956,-1.00587,N
E.carlsbergi,111.27265,112.29715,-1.0245,N
G.braueri,6024.85091,6055.46889,-30.61798,N
E.antarctica,1079.814,1086.73159,-6.91759,N
B.antarcticus,7910.32558,7945.70683,-35.38125,N
N.achirus,13147.40729,13199.05117,-51.64388,N
G.nicholsi,3223.18732,3237.4622,-14.27488,N
P.antarcticum,39388.93889,39487.99922,-99.06033,N
N.coatsi,1810.4252,1813.76736,-3.34216,N
C.piriei,2046.56872,2049.6658,-3.09708,N
P.gracilis,2138.67019,2141.72488,-3.05469,N
C.gunnari,282.62652,283.02644,-0.39992,N
D.eleginoides,16.7177,16.73423,-0.01653,N
D.mawsoni,10.04476,10.05546,-0.0107,N
