,play_G_Base,play_G_LI,Difference,Difference value
Resource,1.83E+04,1.83E+04,1.52E+01,P
P.bolini,4.75E+01,4.80E+01,-5.09E-01,N
K.anderssoni,4.93E+01,4.99E+01,-6.33E-01,N
C.microdon,4.24E+01,4.26E+01,-2.21E-01,N
G.fraseri,1.60E+02,1.61E+02,-9.99E-01,N
E.carlsbergi,9.56E+01,9.64E+01,-7.71E-01,N
G.braueri,1.71E+02,1.71E+02,-7.64E-01,N
E.antarctica,4.71E+02,4.75E+02,-3.17E+00,N
B.antarcticus,1.01E+02,1.02E+02,-3.89E-01,N
N.achirus,3.62E+02,3.63E+02,-1.30E+00,N
G.nicholsi,8.85E+02,8.89E+02,-4.07E+00,N
P.antarcticum,3.75E+03,3.76E+03,-9.83E+00,N
N.coatsi,4.84E+00,4.85E+00,-1.24E-02,N
C.piriei,2.48E-01,2.48E-01,-6.25E-04,N
P.gracilis,6.18E-01,6.19E-01,-1.58E-03,N
C.gunnari,2.45E-01,2.46E-01,-7.35E-04,N
D.eleginoides,1.25E-03,1.26E-03,-4.13E-06,N
D.mawsoni,6.60E-04,6.63E-04,-2.72E-06,N
