,play_M_Base,play_M_LI,Difference,Difference Value
Resource,82227.58969,81555.12296,672.46673,P
P.bolini,96.17515,97.36609,-1.19094,N
K.anderssoni,168.32582,170.71431,-2.38849,N
C.microdon,1279.96341,1288.94467,-8.98126,N
G.fraseri,462.25927,465.58935,-3.33008,N
E.carlsbergi,364.14001,367.21907,-3.07906,N
G.braueri,12437.08997,12490.58208,-53.49211,N
E.antarctica,3517.66834,3537.34655,-19.67821,N
B.antarcticus,8035.38448,8065.0698,-29.68532,N
N.achirus,40893.95239,41022.11376,-128.16137,N
G.nicholsi,10959.66556,10999.30365,-39.63809,N
P.antarcticum,144187.4737,144435.8176,-248.34393,N
N.coatsi,7139.21107,7146.87055,-7.65948,N
C.piriei,2446.63484,2448.47871,-1.84387,N
P.gracilis,4607.18516,4610.29915,-3.11399,N
C.gunnari,1298.09468,1298.96111,-0.86643,N
D.eleginoides,179.62465,179.6887,-0.06405,N
D.mawsoni,18.4696,18.47611,-0.00651,N
