name,w,total_n
Base,0.000697,9.0678075334773e-06
Base,0.000842,1.00145620892235
Base,0.00102,0.881183430994775
Base,0.00123,0.775139980841064
Base,0.00149,0.681646468370999
Base,0.00179,0.599221695994061
Base,0.00217,0.526559364723403
Base,0.00262,0.462507517759749
Base,0.00317,0.428582609890451
Base,0.00382,0.412992234009899
Base,0.00462,0.362191188650753
Base,0.00558,0.317431007849038
Base,0.00675,0.278001313708876
Base,0.00815,0.243275910959591
Base,0.00985,0.212702812607298
Base,0.0119,0.18579542337295
Base,0.0144,0.162124745156779
Base,0.0174,0.141312485705931
Base,0.021,0.123025346061998
Base,0.0254,0.106968074359573
Base,0.0306,0.0928811405839062
Base,0.037,0.0805348834837014
Base,0.0447,0.0697264326709965
Base,0.0541,0.0602773858140757
Base,0.0653,0.0520366678524609
Base,0.0789,0.0449090042205986
Base,0.0954,0.0389326788307277
Base,0.115,0.0339524596194012
Base,0.139,0.0293980982593798
Base,0.168,0.0252960604192424
Base,0.203,0.0217162398217144
Base,0.246,0.0186209374170841
Base,0.297,0.0159533016242529
Base,0.358,0.0136595183195949
Base,0.433,0.011693172875322
Base,0.523,0.0100230407199442
Base,0.632,0.00866517423017684
Base,0.764,0.00766647368691558
Base,0.923,0.00677869159883877
Base,1.12,0.00587228776851096
Base,1.35,0.00509026072040649
Base,1.63,0.00457226625788263
Base,1.97,0.00435286358879624
Base,2.38,0.00410215546059784
Base,2.87,0.00382992132287595
Base,3.47,0.00343857142235449
Base,4.19,0.00287046966047497
Base,5.07,0.00294223670711369
Base,6.12,0.00185032026888646
Base,7.4,0.0010958098017978
Base,8.94,0.000918076020458133
Base,10.8,0.000568481047303953
Base,13,0.000492658983108439
Base,15.8,0.000469844094032766
Base,19,0.000431929571348991
Base,23,0.000368613428292327
Base,27.8,0.00028915115090068
Base,33.6,0.000174605432806241
Base,40.6,0.000129420111683824
Base,49,0.000118433399927575
Base,59.3,5.36146044762686e-05
Base,71.6,3.23437029645602e-05
Base,86.5,2.930445690713e-05
Base,105,2.67932564992009e-05
Base,126,2.48898537668583e-05
Base,153,2.39511281536735e-05
Base,184,1.7148961391344e-05
Base,223,1.68646085245795e-08
Base,269,1.64707206535978e-08
Base,325,1.65528852274308e-08
Base,393,1.74607640862077e-08
Base,475,2.03410389883779e-08
Base,574,3.25493716194876e-08
Base,693,4.90330288857724e-08
Base,838,4.78207449566604e-09
Base,1010,5.32710639013909e-09
Base,1220,6.96992374872169e-09
Base,1480,1.21863946399401e-08
Base,1780,7.80858296508645e-09
Base,2160,1.14792582524465e-09
Base,2610,2.09027403084218e-09
Base,3150,1.90594550867998e-12
Base,3800,1.69117473808315e-12
Base,4600,1.50195980853004e-12
Base,5550,1.33542141225635e-12
Base,6710,1.1899257026829e-12
Base,8110,1.06961217653874e-12
Base,9800,1.00981730267185e-12
Base,11800,1.15236510226159e-12
Base,14300,1.54027619920295e-12
Base,17300,1.77183128484456e-12
Base,20900,1.81289629156027e-12
Base,25200,1.81568607593678e-12
Base,30500,1.84206224091218e-12
Base,36800,1.92096647722284e-12
Base,44500,2.10275594152429e-12
Base,53800,2.6162984935183e-12
Base,65000,5.12121672952973e-13
Base,78500,6.23236626544673e-13
Base,94800,1.63132425087325e-12
KD,0.000697,9.13369139669602e-06
KD,0.000842,1.00798341425616
KD,0.00102,0.886900364885447
KD,0.00123,0.7801406613367
KD,0.00149,0.686013877720819
KD,0.00179,0.603029093653743
KD,0.00217,0.529871449856924
KD,0.00262,0.465381458593152
KD,0.00317,0.431234042665248
KD,0.00382,0.415512331476177
KD,0.00462,0.364354533700963
KD,0.00558,0.319279175903055
KD,0.00675,0.279571261455108
KD,0.00815,0.244600546869247
KD,0.00985,0.21381149637975
KD,0.0119,0.186714401143017
KD,0.0144,0.162877526462714
KD,0.0174,0.141920167564034
KD,0.021,0.123506891803768
KD,0.0254,0.107340537648655
KD,0.0306,0.0931598686263727
KD,0.037,0.0807336741272752
KD,0.0447,0.069857667480171
KD,0.0541,0.0603521461414525
KD,0.0653,0.052064867365663
KD,0.0789,0.0448996807002197
KD,0.0954,0.0388946722000275
KD,0.115,0.0338931987903225
KD,0.139,0.0293215928950704
KD,0.168,0.0252063621084055
KD,0.203,0.0216175394933005
KD,0.246,0.0185169708580071
KD,0.297,0.0158472727623131
KD,0.358,0.0135541274756012
KD,0.433,0.0115906193748995
KD,0.523,0.00992484592926737
KD,0.632,0.00857121125244732
KD,0.764,0.00757380753703299
KD,0.923,0.00668854306326252
KD,1.12,0.00578959045871361
KD,1.35,0.00501641520945814
KD,1.63,0.00450483813904767
KD,1.97,0.00428879459321314
KD,2.38,0.00404476017402355
KD,2.87,0.00378062041536553
KD,3.47,0.00339847981574416
KD,4.19,0.00284082169323067
KD,5.07,0.00291634508360876
KD,6.12,0.00183385243094748
KD,7.4,0.00108564645276952
KD,8.94,0.000910127368058317
KD,10.8,0.00056378723066578
KD,13,0.000489212839698648
KD,15.8,0.000467051202904172
KD,19,0.00042969523014974
KD,23,0.000366916597486332
KD,27.8,0.000287953434787312
KD,33.6,0.000173982114215375
KD,40.6,0.000129009721873843
KD,49,0.000118084367787942
KD,59.3,5.34882705867015e-05
KD,71.6,3.22834865030443e-05
KD,86.5,2.92522576314948e-05
KD,105,2.67473723557294e-05
KD,126,2.48487414006664e-05
KD,153,2.39128873261777e-05
KD,184,1.71223857855345e-05
KD,223,1.6840169756976e-08
KD,269,1.64483753859474e-08
KD,325,1.65317106478281e-08
KD,393,1.74395206015499e-08
KD,475,2.03172627893779e-08
KD,574,3.25122818050734e-08
KD,693,4.89787045120524e-08
KD,838,4.77814609339587e-09
KD,1010,5.3227039839918e-09
KD,1220,6.96403953374397e-09
KD,1480,1.21760334100908e-08
KD,1780,7.80259931174718e-09
KD,2160,1.14740573471682e-09
KD,2610,2.08947729018806e-09
KD,3150,1.90534138282485e-12
KD,3800,1.69061060818465e-12
KD,4600,1.5014299095523e-12
KD,5550,1.33492525566041e-12
KD,6710,1.18946469555064e-12
KD,8110,1.06918618913981e-12
KD,9800,1.00941502273725e-12
KD,11800,1.15193710205192e-12
KD,14300,1.53977688658438e-12
KD,17300,1.77132794740737e-12
KD,20900,1.81243616890814e-12
KD,25200,1.81526632735557e-12
KD,30500,1.84167213273078e-12
KD,36800,1.92059383631371e-12
KD,44500,2.10238178409565e-12
KD,53800,2.61586764770748e-12
KD,65000,5.12072481447986e-13
KD,78500,6.23191099881707e-13
KD,94800,1.63122109284766e-12
KD_LD,0.000697,9.31120576107384e-06
KD_LD,0.000842,1.0273810089814
KD_LD,0.00102,0.903641690949295
KD_LD,0.00123,0.794574359693607
KD_LD,0.00149,0.698443559469647
KD_LD,0.00179,0.613719116547556
KD_LD,0.00217,0.539051962876317
KD_LD,0.00262,0.473252806601404
KD_LD,0.00317,0.438396499722178
KD_LD,0.00382,0.422268430621556
KD_LD,0.00462,0.370113356605857
KD_LD,0.00558,0.324175403183815
KD_LD,0.00675,0.283722161442386
KD_LD,0.00815,0.248108231430799
KD_LD,0.00985,0.216764884098736
KD_LD,0.0119,0.189190924400258
KD_LD,0.0144,0.164944614521299
KD_LD,0.0174,0.14363653393102
KD_LD,0.021,0.124923656299274
KD_LD,0.0254,0.108502177219215
KD_LD,0.0306,0.0941050743204174
KD_LD,0.037,0.0814960716685133
KD_LD,0.0447,0.0704664492290235
KD_LD,0.0541,0.0608326297005657
KD_LD,0.0653,0.0524390478746934
KD_LD,0.0789,0.0451870693714931
KD_LD,0.0954,0.0391138857960248
KD_LD,0.115,0.0340595986553483
KD_LD,0.139,0.029443215229721
KD_LD,0.168,0.0252910243296999
KD_LD,0.203,0.0216730712073139
KD_LD,0.246,0.018550028427038
KD_LD,0.297,0.0158632204584318
KD_LD,0.358,0.0135571682530694
KD_LD,0.433,0.0115839505821139
KD_LD,0.523,0.00991072775020476
KD_LD,0.632,0.00855056790795144
KD_LD,0.764,0.00754540510685818
KD_LD,0.923,0.00665235122852677
KD_LD,1.12,0.00574758339836751
KD_LD,1.35,0.00496905967101665
KD_LD,1.63,0.00444918942170374
KD_LD,1.97,0.00421703138336014
KD_LD,2.38,0.00396229591534852
KD_LD,2.87,0.00369974282180601
KD_LD,3.47,0.00332397267417582
KD_LD,4.19,0.00277753556313856
KD_LD,5.07,0.00285208589187301
KD_LD,6.12,0.00179091732552486
KD_LD,7.4,0.00105709605180618
KD_LD,8.94,0.000886828407616221
KD_LD,10.8,0.000548765075258975
KD_LD,13,0.000477150297819302
KD_LD,15.8,0.000457519276396811
KD_LD,19,0.000422609707835217
KD_LD,23,0.000361910829346692
KD_LD,27.8,0.000284637285713892
KD_LD,33.6,0.000172223634108175
KD_LD,40.6,0.000127917037925954
KD_LD,49,0.000117263526167144
KD_LD,59.3,5.31706064104193e-05
KD_LD,71.6,3.21255541261202e-05
KD_LD,86.5,2.91293491354006e-05
KD_LD,105,2.66490080875439e-05
KD_LD,126,2.47679781302808e-05
