name,sp,w,value
Base,B.antarcticus,0.000697,0
Base,C.gunnari,0.000697,0
Base,C.microdon,0.000697,0
Base,C.piriei,0.000697,9.0678075334773e-06
Base,D.eleginoides,0.000697,0
Base,D.mawsoni,0.000697,0
Base,E.antarctica,0.000697,0
Base,E.carlsbergi,0.000697,0
Base,G.braueri,0.000697,0
Base,G.fraseri,0.000697,0
Base,G.nicholsi,0.000697,0
Base,K.anderssoni,0.000697,0
Base,N.achirus,0.000697,0
Base,N.coatsi,0.000697,0
Base,P.antarcticum,0.000697,0
Base,P.bolini,0.000697,0
Base,P.gracilis,0.000697,0
Base,B.antarcticus,0.000842,0
Base,C.gunnari,0.000842,0
Base,C.microdon,0.000842,0.0839677781547975
Base,C.piriei,0.000842,7.99996774080042e-06
Base,D.eleginoides,0.000842,0
Base,D.mawsoni,0.000842,0
Base,E.antarctica,0.000842,0.189870907151807
Base,E.carlsbergi,0.000842,0.043643835303927
Base,G.braueri,0.000842,0.0770500586057018
Base,G.fraseri,0.000842,0.174940623139451
Base,G.nicholsi,0.000842,0.0578217403361795
Base,K.anderssoni,0.000842,0.126271891364078
Base,N.achirus,0.000842,0.0582809814755994
Base,N.coatsi,0.000842,1.75423158658591e-05
Base,P.antarcticum,0.000842,0
Base,P.bolini,0.000842,0.189579631385001
Base,P.gracilis,0.000842,3.21972219811341e-06
Base,B.antarcticus,0.00102,0
Base,C.gunnari,0.00102,0
Base,C.microdon,0.00102,0.0740141788868373
Base,C.piriei,0.00102,7.05765965783513e-06
Base,D.eleginoides,0.00102,0
Base,D.mawsoni,0.00102,0
Base,E.antarctica,0.00102,0.167063230382569
Base,E.carlsbergi,0.00102,0.0384072448402519
Base,G.braueri,0.00102,0.067834888166391
Base,G.fraseri,0.00102,0.153953870924981
Base,G.nicholsi,0.00102,0.0509443641177481
Base,K.anderssoni,0.00102,0.111034142545638
Base,N.achirus,0.00102,0.0513541457456025
Base,N.coatsi,0.00102,1.54775031786988e-05
Base,P.antarcticum,0.00102,0
Base,P.bolini,0.00102,0.166551989109749
Base,P.gracilis,0.00102,2.84111217098456e-06
Base,B.antarcticus,0.00123,0
Base,C.gunnari,0.00123,0
Base,C.microdon,0.00123,0.0652330993508656
Base,C.piriei,0.00123,6.22612187564639e-06
Base,D.eleginoides,0.00123,0
Base,D.mawsoni,0.00123,0
Base,E.antarctica,0.00123,0.146945745496721
Base,E.carlsbergi,0.00123,0.0337899452907915
Base,G.braueri,0.00123,0.0597074276546501
Base,G.fraseri,0.00123,0.135453511183073
Base,G.nicholsi,0.00123,0.04487644071365
Base,K.anderssoni,0.00123,0.0976015645024108
Base,N.achirus,0.00123,0.0452433707606898
Base,N.coatsi,0.00123,1.36553053634618e-05
Base,P.antarcticum,0.00123,0
Base,P.bolini,0.00123,0.146266487476232
Base,P.gracilis,0.00123,2.50698474121088e-06
Base,B.antarcticus,0.00149,0
Base,C.gunnari,0.00149,0
Base,C.microdon,0.00149,0.0574866585387784
Base,C.piriei,0.00149,5.49233084372572e-06
Base,D.eleginoides,0.00149,0
Base,D.mawsoni,0.00149,0
Base,E.antarctica,0.00149,0.129200994181694
Base,E.carlsbergi,0.00149,0.0297188416480676
Base,G.braueri,0.00149,0.0525395553920838
Base,G.fraseri,0.00149,0.119145991289329
Base,G.nicholsi,0.00149,0.0395226250957789
Base,K.anderssoni,0.00149,0.0857609716119735
Base,N.achirus,0.00149,0.0398526116881062
Base,N.coatsi,0.00149,1.20471953633364e-05
Base,P.antarcticum,0.00149,0
Base,P.bolini,0.00149,0.128398467287875
Base,P.gracilis,0.00149,2.21211110528414e-06
Base,B.antarcticus,0.00179,0
Base,C.gunnari,0.00179,0
Base,C.microdon,0.00179,0.0506531903818445
Base,C.piriei,0.00179,4.84479623630204e-06
Base,D.eleginoides,0.00179,0
Base,D.mawsoni,0.00179,0
Base,E.antarctica,0.00179,0.113549026097897
Base,E.carlsbergi,0.00179,0.0261294659770784
Base,G.braueri,0.00179,0.046218270062987
Base,G.fraseri,0.00179,0.104772375544677
Base,G.nicholsi,0.00179,0.03479881137676
Base,K.anderssoni,0.00179,0.0753243564210584
Base,N.achirus,0.00179,0.0350971426191545
Base,N.coatsi,0.00179,1.06280036268466e-05
Base,P.antarcticum,0.00179,0
Base,P.bolini,0.00179,0.112661632835102
Base,P.gracilis,0.00179,1.95187763881224e-06
Base,B.antarcticus,0.00217,0
Base,C.gunnari,0.00217,0
Base,C.microdon,0.00217,0.0446253381244985
Base,C.piriei,0.00217,4.27338038740567e-06
Base,D.eleginoides,0.00217,0
Base,D.mawsoni,0.00217,0
Base,E.antarctica,0.00217,0.0997429995078101
Base,E.carlsbergi,0.00217,0.0229649632711758
Base,G.braueri,0.00217,0.040643909786097
Base,G.fraseri,0.00217,0.0921042736497972
Base,G.nicholsi,0.00217,0.0306308125046742
Base,K.anderssoni,0.00217,0.0661259316770813
Base,N.achirus,0.00217,0.0309022242328374
Base,N.coatsi,0.00217,9.37552307860614e-06
Base,P.antarcticum,0.00217,0
Base,P.bolini,0.00217,0.0988035408524581
Base,P.gracilis,0.00217,1.72221350683175e-06
Base,B.antarcticus,0.00262,0
Base,C.gunnari,0.00262,0
Base,C.microdon,0.00262,0.0393083724505734
Base,C.piriei,0.00262,3.7691389628136e-06
Base,D.eleginoides,0.00262,0
Base,D.mawsoni,0.00262,0
