name,n_pp
Base,1.17451515117862e+24
Base,7.96950753706531e+23
Base,5.40759736642013e+23
Base,3.66924921537652e+23
Base,2.48971750155542e+23
Base,1.68936282975135e+23
Base,1.14629341230982e+23
Base,7.77801289317055e+22
Base,5.27766136633576e+22
Base,3.58108296814086e+22
Base,2.42989353324352e+22
Base,1.64877011658962e+22
Base,1.11874979712806e+22
Base,7.59111956227667e+21
Base,5.15084752253886e+21
Base,3.49503521618726e+21
Base,2.3715070401401e+21
Base,1.60915278203387e+21
Base,1.09186801139513e+21
Base,7.40871698211976e+20
Base,5.02708081455885e+20
Base,3.41105505542946e+20
Base,2.31452348199257e+20
Base,1.57048738928096e+20
Base,1.0656321523976e+20
Base,72306972470722100000
Base,49062880245480300000
Base,33290928049256200000
Base,22589091484959200000
Base,15327510646770700000
Base,10400266995389900000
Base,7056955044306920000
Base,4788397693967140000
Base,3249099977487640000
Base,2204631139349530000
Base,1495921484185140000
Base,1015036505157310000
Base,688738759148826000
Base,467334008130260000
Base,317102925098761000
Base,215165734478467000
Base,145997686016886000
Base,99064678555416000
Base,67218945758693100
Base,45610471207115700
Base,30948344402669600
Base,20999564264746200
Base,14248959284120400
Base,9668431121609790
Base,6560378094107400
Base,4451452380956030
Base,3020470469060910
Base,2049497798290970
Base,1390657934884210
Base,943611402398603
Base,640274258879729
Base,434449102104352
Base,294789333874459
Base,200025160407241
Base,135724261975150
Base,92093790803276.3
Base,62488947624889
Base,42400997257939.5
Base,28770600793035.2
Base,19521886797378.5
Base,13246301876567.8
Base,8988091915254.32
Base,6098743387007.94
Base,4138216550244.83
Base,2807928621009.66
Base,1905280446460.4
Base,1292801218065.93
Base,877212050265.283
Base,595219865924.772
Base,403878036911.47
Base,274045732187.606
Base,185949850356.324
Base,126173631345.578
Base,85613321176.4138
Base,58091695550.5583
Base,39417285761.0404
Base,26746029652.0452
Base,18148128846.8885
Base,12314145806.1047
Base,8355580115.95272
Base,5669552331.2898
Base,3846987098.74706
Base,2610312105.37294
Base,1771184575.93239
Base,1201807181.93509
Base,815464855.034954
Base,553318315.508446
Base,375443006.813584
Base,254748690.767372
Base,172853674.483715
Base,117285325.201883
Base,79580519.102561
Base,53996727.6628994
Base,36637443.5123766
Base,24858750.5162601
Base,16866660.3081222
Base,11443890.7023124
Base,7764475.06426097
Base,5267968.1344826
Base,3574090.18238849
Base,2424810.01599983
Base,1645046.23874398
Base,1116001.65437043
Base,757069.716074901
Base,513557.415544527
Base,348354.835026193
Base,236282.653499652
Base,160256.739840117
Base,108685.705556393
Base,73705.0646262094
Base,49979.0609731369
Base,33887.6782963983
Base,22975.0092304035
Base,15574.9653484791
Base,10557.3183237162
Base,7155.38906170596
Base,4849.1368812008
Base,3285.83858622228
Base,2226.27264917559
Base,1508.20861513296
Base,1021.63788890155
Base,691.9707292884
Base,468.637948790186
Base,317.359335956771
Base,214.899599671803
Base,145.511781143477
Base,98.5253357987948
Base,66.7106365253861
Base,45.1700793651634
Base,30.5863237874852
Base,20.7127135905989
Base,14.0279081459226
Base,9.50184317100349
Base,6.43715886109273
Base,4.36177825217148
Base,2.95614864810266
Base,2.00396919272271
Base,1.35882878360158
Base,0.921620238293275
Base,0.625251989651752
Base,0.424300662905819
Base,0.288008333679279
Base,0.195543675132895
Base,0.132795153851073
Base,0.0902008817876891
Base,0.061279923684517
Base,0.0416382004854364
Base,0.0282955862674357
Base,0.0192302420088837
Base,0.0130700312040577
Base,0.00888355476157661
Base,0.00603790624094562
Base,0.00410358049603909
Base,0.0027888133474754
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
Base,0
KI,1.23324090873755e+24
KI,8.36798291391857e+23
KI,5.67797723474113e+23
KI,3.85271167614535e+23
KI,2.6142033766332e+23
KI,1.77383097123891e+23
KI,1.20360808292531e+23
KI,8.16691353782908e+22
KI,5.54154443465255e+22
KI,3.7601371165479e+22
KI,2.55138820990569e+22
KI,1.7312086224191e+22
KI,1.17468728698446e+22
KI,7.9706755403905e+21
KI,5.40838989866581e+21
KI,3.66978697699662e+21
KI,2.49008239214711e+21
KI,1.68961042113556e+21
KI,1.14646141196488e+21
KI,7.77915283122574e+20
KI,5.2784348552868e+20
KI,3.58160780820094e+20
KI,2.4302496560922e+20
KI,1.64901175874501e+20
