name,time,sp,value,kappa,lambda,relative Change,biomass_change
Base,200,B.antarcticus,0.039779937,0.256,2.05,1,0
Base,200,C.gunnari,0.005550993,0.256,2.05,1,0
Base,200,C.microdon,0.025727883,0.256,2.05,1,0
Base,200,C.piriei,0.006354965,0.256,2.05,1,0
Base,200,D.eleginoides,0.00343593,0.256,2.05,1,0
Base,200,D.mawsoni,0.004909195,0.256,2.05,1,0
Base,200,E.antarctica,0.032846449,0.256,2.05,1,0
Base,200,E.carlsbergi,0.007795502,0.256,2.05,1,0
Base,200,G.braueri,0.043849149,0.256,2.05,1,0
Base,200,G.fraseri,0.025726108,0.256,2.05,1,0
Base,200,G.nicholsi,0.071105701,0.256,2.05,1,0
Base,200,K.anderssoni,0.004352934,0.256,2.05,1,0
Base,200,N.achirus,0.100829624,0.256,2.05,1,0
Base,200,N.coatsi,0.008305606,0.256,2.05,1,0
Base,200,P.antarcticum,0.565841596,0.256,2.05,1,0
Base,200,P.bolini,0.006214432,0.256,2.05,1,0
Base,200,P.gracilis,0.008451855,0.256,2.05,1,0
KI,200,B.antarcticus,0.040964071,0.2688,2.05,1.029767123,0.029767123
KI,200,C.gunnari,0.005621991,0.2688,2.05,1.012790175,0.012790175
KI,200,C.microdon,0.02601382,0.2688,2.05,1.011113895,0.011113895
KI,200,C.piriei,0.006415018,0.2688,2.05,1.009449777,0.009449777
KI,200,D.eleginoides,0.00347978,0.2688,2.05,1.012762204,0.012762204
KI,200,D.mawsoni,0.004944556,0.2688,2.05,1.007202857,0.007202857
KI,200,E.antarctica,0.034521454,0.2688,2.05,1.050995011,0.050995011
KI,200,E.carlsbergi,0.008002969,0.2688,2.05,1.026613664,0.026613664
KI,200,G.braueri,0.044947117,0.2688,2.05,1.025039661,0.025039661
KI,200,G.fraseri,0.026192995,0.2688,2.05,1.018148363,0.018148363
KI,200,G.nicholsi,0.07359061,0.2688,2.05,1.034946692,0.034946692
KI,200,K.anderssoni,0.004505242,0.2688,2.05,1.034989765,0.034989765
KI,200,N.achirus,0.103135283,0.2688,2.05,1.022866881,0.022866881
KI,200,N.coatsi,0.00838511,0.2688,2.05,1.009572378,0.009572378
KI,200,P.antarcticum,0.575449153,0.2688,2.05,1.016979235,0.016979235
KI,200,P.bolini,0.006381473,0.2688,2.05,1.026879629,0.026879629
KI,200,P.gracilis,0.008502547,0.2688,2.05,1.005997851,0.005997851
KD,200,B.antarcticus,0.03851709,0.243,2.05,0.968254182,-0.031745818
KD,200,C.gunnari,0.005474338,0.243,2.05,0.986190749,-0.013809251
KD,200,C.microdon,0.025418456,0.243,2.05,0.987973104,-0.012026896
KD,200,C.piriei,0.006289611,0.243,2.05,0.989716191,-0.010283809
KD,200,D.eleginoides,0.00338827,0.243,2.05,0.986128841,-0.013871159
KD,200,D.mawsoni,0.004870542,0.243,2.05,0.992126374,-0.007873626
KD,200,E.antarctica,0.031113213,0.243,2.05,0.947232146,-0.052767854
KD,200,E.carlsbergi,0.00757562,0.243,2.05,0.971793641,-0.028206359
KD,200,G.braueri,0.042680548,0.243,2.05,0.973349515,-0.026650485
KD,200,G.fraseri,0.025225328,0.243,2.05,0.980534164,-0.019465836
KD,200,G.nicholsi,0.068490194,0.243,2.05,0.963216646,-0.036783354
KD,200,K.anderssoni,0.004193184,0.243,2.05,0.96330061,-0.03669939
KD,200,N.achirus,0.098366226,0.243,2.05,0.975568707,-0.024431293
KD,200,N.coatsi,0.00821954,0.243,2.05,0.9896376,-0.0103624
KD,200,P.antarcticum,0.555510355,0.243,2.05,0.981741814,-0.018258186
KD,200,P.bolini,0.006036744,0.243,2.05,0.97140724,-0.02859276
KD,200,P.gracilis,0.008396721,0.243,2.05,0.993476727,-0.006523273
LI,200,B.antarcticus,0.04719203,0.256,2.153,1.186327422,0.186327422
LI,200,C.gunnari,0.005844174,0.256,2.153,1.052816018,0.052816018
LI,200,C.microdon,0.027691845,0.256,2.153,1.076335937,0.076335937
LI,200,C.piriei,0.006518244,0.256,2.153,1.025693267,0.025693267
LI,200,D.eleginoides,0.003539986,0.256,2.153,1.030284676,0.030284676
LI,200,D.mawsoni,0.005024415,0.256,2.153,1.023470168,0.023470168
LI,200,E.antarctica,0.043375827,0.256,2.153,1.320563652,0.320563652
LI,200,E.carlsbergi,0.009149333,0.256,2.153,1.173668184,0.173668184
LI,200,G.braueri,0.050189273,0.256,2.153,1.144589457,0.144589457
LI,200,G.fraseri,0.029028994,0.256,2.153,1.128386534,0.128386534
LI,200,G.nicholsi,0.085042613,0.256,2.153,1.196002744,0.196002744
LI,200,K.anderssoni,0.005393514,0.256,2.153,1.239052486,0.239052486
LI,200,N.achirus,0.112548686,0.256,2.153,1.116226376,0.116226376
LI,200,N.coatsi,0.008605949,0.256,2.153,1.036161471,0.036161471
LI,200,P.antarcticum,0.621695902,0.256,2.153,1.098710146,0.098710146
LI,200,P.bolini,0.007413059,0.256,2.153,1.192878068,0.192878068
LI,200,P.gracilis,0.008599488,0.256,2.153,1.017467548,0.017467548
KI_LI,200,B.antarcticus,0.048274107,0.2688,2.153,1.213528999,0.213528999
KI_LI,200,C.gunnari,0.00591038,0.2688,2.153,1.064742788,0.064742788
KI_LI,200,C.microdon,0.027927612,0.2688,2.153,1.085499798,0.085499798
KI_LI,200,C.piriei,0.006572831,0.2688,2.153,1.034282905,0.034282905
KI_LI,200,D.eleginoides,0.003579487,0.2688,2.153,1.041781154,0.041781154
KI_LI,200,D.mawsoni,0.005055408,0.2688,2.153,1.029783414,0.029783414
KI_LI,200,E.antarctica,0.045226203,0.2688,2.153,1.376897757,0.376897757
KI_LI,200,E.carlsbergi,0.009350206,0.2688,2.153,1.199436027,0.199436027
