name,time,sp,value,kappa,lambda,relative_change,biomass_change
Base,200,B.antarcticus,0.039779937,0.256,2.05,1,0
Base,200,C.gunnari,0.005550993,0.256,2.05,1,0
Base,200,C.microdon,0.025727883,0.256,2.05,1,0
Base,200,C.piriei,0.006354965,0.256,2.05,1,0
Base,200,D.eleginoides,0.00343593,0.256,2.05,1,0
Base,200,D.mawsoni,0.004909195,0.256,2.05,1,0
Base,200,E.antarctica,0.032846449,0.256,2.05,1,0
Base,200,E.carlsbergi,0.007795502,0.256,2.05,1,0
Base,200,G.braueri,0.043849149,0.256,2.05,1,0
Base,200,G.fraseri,0.025726108,0.256,2.05,1,0
Base,200,G.nicholsi,0.071105701,0.256,2.05,1,0
Base,200,K.anderssoni,0.004352934,0.256,2.05,1,0
Base,200,N.achirus,0.100829624,0.256,2.05,1,0
Base,200,N.coatsi,0.008305606,0.256,2.05,1,0
Base,200,P.antarcticum,0.565841596,0.256,2.05,1,0
Base,200,P.bolini,0.006214432,0.256,2.05,1,0
Base,200,P.gracilis,0.008451855,0.256,2.05,1,0
KI,200,B.antarcticus,0.040964071,0.2688,2.05,1.029767123,0.029767123
KI,200,C.gunnari,0.005621991,0.2688,2.05,1.012790175,0.012790175
KI,200,C.microdon,0.02601382,0.2688,2.05,1.011113895,0.011113895
KI,200,C.piriei,0.006415018,0.2688,2.05,1.009449777,0.009449777
KI,200,D.eleginoides,0.00347978,0.2688,2.05,1.012762204,0.012762204
KI,200,D.mawsoni,0.004944556,0.2688,2.05,1.007202857,0.007202857
KI,200,E.antarctica,0.034521454,0.2688,2.05,1.050995011,0.050995011
KI,200,E.carlsbergi,0.008002969,0.2688,2.05,1.026613664,0.026613664
KI,200,G.braueri,0.044947117,0.2688,2.05,1.025039661,0.025039661
KI,200,G.fraseri,0.026192995,0.2688,2.05,1.018148363,0.018148363
KI,200,G.nicholsi,0.07359061,0.2688,2.05,1.034946692,0.034946692
KI,200,K.anderssoni,0.004505242,0.2688,2.05,1.034989765,0.034989765
KI,200,N.achirus,0.103135283,0.2688,2.05,1.022866881,0.022866881
KI,200,N.coatsi,0.00838511,0.2688,2.05,1.009572378,0.009572378
KI,200,P.antarcticum,0.575449153,0.2688,2.05,1.016979235,0.016979235
KI,200,P.bolini,0.006381473,0.2688,2.05,1.026879629,0.026879629
KI,200,P.gracilis,0.008502547,0.2688,2.05,1.005997851,0.005997851
KD,200,B.antarcticus,0.03851709,0.243,2.05,0.968254182,-0.031745818
KD,200,C.gunnari,0.005474338,0.243,2.05,0.986190749,-0.013809251
KD,200,C.microdon,0.025418456,0.243,2.05,0.987973104,-0.012026896
KD,200,C.piriei,0.006289611,0.243,2.05,0.989716191,-0.010283809
KD,200,D.eleginoides,0.00338827,0.243,2.05,0.986128841,-0.013871159
KD,200,D.mawsoni,0.004870542,0.243,2.05,0.992126374,-0.007873626
KD,200,E.antarctica,0.031113213,0.243,2.05,0.947232146,-0.052767854
KD,200,E.carlsbergi,0.00757562,0.243,2.05,0.971793641,-0.028206359
KD,200,G.braueri,0.042680548,0.243,2.05,0.973349515,-0.026650485
KD,200,G.fraseri,0.025225328,0.243,2.05,0.980534164,-0.019465836
KD,200,G.nicholsi,0.068490194,0.243,2.05,0.963216646,-0.036783354
KD,200,K.anderssoni,0.004193184,0.243,2.05,0.96330061,-0.03669939
KD,200,N.achirus,0.098366226,0.243,2.05,0.975568707,-0.024431293
KD,200,N.coatsi,0.00821954,0.243,2.05,0.9896376,-0.0103624
KD,200,P.antarcticum,0.555510355,0.243,2.05,0.981741814,-0.018258186
KD,200,P.bolini,0.006036744,0.243,2.05,0.97140724,-0.02859276
KD,200,P.gracilis,0.008396721,0.243,2.05,0.993476727,-0.006523273
LI,200,B.antarcticus,0.040574495,0.256,2.06,1.019973838,0.019973838
LI,200,C.gunnari,0.00557925,0.256,2.06,1.005090465,0.005090465
LI,200,C.microdon,0.02595213,0.256,2.06,1.008716109,0.008716109
LI,200,C.piriei,0.006372036,0.256,2.06,1.002686358,0.002686358
LI,200,D.eleginoides,0.003446237,0.256,2.06,1.002999771,0.002999771
LI,200,D.mawsoni,0.004920715,0.256,2.06,1.002346567,0.002346567
LI,200,E.antarctica,0.03384442,0.256,2.06,1.030382907,0.030382907
LI,200,E.carlsbergi,0.007935001,0.256,2.06,1.017894812,0.017894812
LI,200,G.braueri,0.044525352,0.256,2.06,1.015421128,0.015421128
LI,200,G.fraseri,0.026085388,0.256,2.06,1.013965601,0.013965601
LI,200,G.nicholsi,0.072472593,0.256,2.06,1.019223383,0.019223383
LI,200,K.anderssoni,0.004457266,0.256,2.06,1.023968298,0.023968298
LI,200,N.achirus,0.102070049,0.256,2.06,1.012302188,0.012302188
LI,200,N.coatsi,0.008337069,0.256,2.06,1.003788249,0.003788249
LI,200,P.antarcticum,0.571671776,0.256,2.06,1.010303555,0.010303555
LI,200,P.bolini,0.0063429,0.256,2.06,1.020672543,0.020672543
LI,200,P.gracilis,0.00846695,0.256,2.06,1.00178602,0.00178602
KI_LI,200,B.antarcticus,0.041748018,0.2688,2.06,1.049474225,0.049474225
KI_LI,200,C.gunnari,0.005649797,0.2688,2.06,1.017799255,0.017799255
KI_LI,200,C.microdon,0.026232089,0.2688,2.06,1.019597654,0.019597654
KI_LI,200,C.piriei,0.006431516,0.2688,2.06,1.012045913,0.012045913
KI_LI,200,D.eleginoides,0.003489676,0.2688,2.06,1.015642217,0.015642217
KI_LI,200,D.mawsoni,0.004955658,0.2688,2.06,1.009464437,0.009464437
KI_LI,200,E.antarctica,0.035536852,0.2688,2.06,1.081908477,0.081908477
KI_LI,200,E.carlsbergi,0.008141619,0.2688,2.06,1.044399474,0.044399474
