name,time,sp,value,kappa,lambda
Base,200,B.antarcticus,0.039779936689853,0.256,2.05
Base,200,C.gunnari,0.00555099305509748,0.256,2.05
Base,200,C.microdon,0.0257278829272975,0.256,2.05
Base,200,C.piriei,0.00635496456206599,0.256,2.05
Base,200,D.eleginoides,0.0034359301449534,0.256,2.05
Base,200,D.mawsoni,0.00490919536541639,0.256,2.05
Base,200,E.antarctica,0.0328464494196218,0.256,2.05
Base,200,E.carlsbergi,0.00779550232917357,0.256,2.05
Base,200,G.braueri,0.0438491488032624,0.256,2.05
Base,200,G.fraseri,0.0257261077616423,0.256,2.05
Base,200,G.nicholsi,0.0711057005297384,0.256,2.05
Base,200,K.anderssoni,0.00435293398998478,0.256,2.05
Base,200,N.achirus,0.100829624048934,0.256,2.05
Base,200,N.coatsi,0.00830560569078338,0.256,2.05
Base,200,P.antarcticum,0.565841595665208,0.256,2.05
Base,200,P.bolini,0.00621443162789773,0.256,2.05
Base,200,P.gracilis,0.00845185450481156,0.256,2.05
KI,200,B.antarcticus,0.0409640709392726,0.2688,2.05
KI,200,C.gunnari,0.00562199122979511,0.2688,2.05
KI,200,C.microdon,0.0260138199290041,0.2688,2.05
KI,200,C.piriei,0.00641501755736888,0.2688,2.05
KI,200,D.eleginoides,0.00347978018599368,0.2688,2.05
KI,200,D.mawsoni,0.0049445555980104,0.2688,2.05
KI,200,E.antarctica,0.0345214544590774,0.2688,2.05
KI,200,E.carlsbergi,0.00800296921226713,0.2688,2.05
KI,200,G.braueri,0.044947116624873,0.2688,2.05
KI,200,G.fraseri,0.0261929945118893,0.2688,2.05
KI,200,G.nicholsi,0.0735906095277678,0.2688,2.05
KI,200,K.anderssoni,0.0045052421277587,0.2688,2.05
KI,200,N.achirus,0.103135283069693,0.2688,2.05
KI,200,N.coatsi,0.0083851100900266,0.2688,2.05
KI,200,P.antarcticum,0.575449152962706,0.2688,2.05
KI,200,P.bolini,0.00638147324730142,0.2688,2.05
KI,200,P.gracilis,0.00850254746617044,0.2688,2.05
KD,200,B.antarcticus,0.0385170900398788,0.243,2.05
KD,200,C.gunnari,0.00547433799713855,0.243,2.05
KD,200,C.microdon,0.0254184563508749,0.243,2.05
KD,200,C.piriei,0.00628961131931973,0.243,2.05
KD,200,D.eleginoides,0.00338826981265081,0.243,2.05
KD,200,D.mawsoni,0.0048705421988873,0.243,2.05
KD,200,E.antarctica,0.0311132127883995,0.243,2.05
KD,200,E.carlsbergi,0.00757561959034972,0.243,2.05
